,0
0,967
1,1265
2,5476
3,1116
4,2793
5,3433
6,2916
7,2842
8,4989
9,3017
10,4396
11,3716
12,809
13,1047
14,4590
15,4739
16,2185
17,1862
18,4017
19,1616
20,1736
21,1307
22,1909
23,1050
24,2683
25,1374
26,3610
27,3141
28,1387
29,4101
30,720
31,1524
32,1640
33,781
34,707
35,2617
36,1387
37,1201
38,4086
39,2705
40,2004
41,3666
42,3542
43,3036
44,1663
45,1885
46,3260
47,864
48,4558
49,3244
50,2210
51,4121
52,1643
53,2625
54,789
55,915
56,998
57,817
58,1467
59,1842
60,1329
61,995
62,2412
63,1665
64,1121
65,1093
66,652
67,911
68,916
69,1080
70,1082
71,1382
72,1027
73,903
74,2540
75,5980
76,5154
77,4083
78,3180
79,3678
80,2761
81,3322
82,3033
83,2710
84,1385
85,852
86,1813
87,2259
88,2096
89,861
90,2086
91,1115
92,1589
93,2088
94,2504
95,2166
96,1255
97,662
98,927
99,1825
100,1172
101,1293
102,1932
103,2003
104,3275
105,3624
106,4047
107,1968
108,2512
109,3100
110,4667
111,3680
112,1182
113,1622
114,3671
115,2128
116,4227
117,2192
118,3008
119,3426
120,2403
121,3164
122,2348
123,2445
124,2577
125,2707
126,1166
127,1824
128,1348
129,2105
130,5070
131,2636
132,1905
133,1483
134,2018
135,1202
136,2524
137,1558
138,1158
139,686
140,591
141,1549
142,2755
143,1949
144,1718
145,2114
146,1957
147,1762
148,1433
149,3196
150,2704
151,2210
152,2895
153,6459
154,6920
155,7911
156,3056
157,2581
158,2956
159,1306
160,3683
161,966
162,1167
163,4072
164,7236
165,5762
166,6803
167,4416
168,3184
169,4060
170,5778
171,4058
172,4259
173,5788
174,1070
175,2613
176,6542
177,6916
178,7588
179,2784
180,4753
181,4239
182,2456
183,5533
184,3953
185,3938
186,3718
187,615
188,615
189,717
190,4015
191,4222
192,7061
193,5799
194,6051
195,5338
196,2753
197,997
198,4452
199,4756
200,3686
201,2256
202,1362
203,1303
204,2020
205,1714
206,1878
207,986
208,1320
209,1126
210,970
211,1090
212,911
213,1528
214,894
215,1022
216,829
217,960
218,1077
219,1051
220,787
221,1046
222,1149
223,827
224,1099
225,833
226,651
227,953
228,1276
229,1084
230,1537
231,1647
232,873
233,1090
234,886
235,1213
236,1143
237,1088
238,1142
239,1247
240,1023
241,1404
242,1049
243,892
244,783
245,1268
246,1010
247,1065
248,1372
249,1210
250,1973
251,2726
252,1937
253,1463
254,1524
255,1304
256,1580
257,1606
258,1379
259,839
260,1923
261,1725
262,1208
263,893
264,1536
265,1487
266,1867
267,1599
268,1536
269,1582
270,1400
271,3165
272,3268
273,2656
274,2981
275,969
276,909
277,1914
278,1034
279,3610
280,4902
281,2582
282,2081
283,1326
284,1808
285,2531
286,3823
287,2482
